ulasan bersih,sentimen
aplikasi livin sekang tidak bisa scan qris aneh skali,negatif
mantap,positif
tidak bisa daftar gagal,negatif
sangat manfaat,netral
alami tabung habis dpt transfer,netral
otp,netral
sangat cepat mudah pakai,positif
tidak bisa buka aplikasi livin ah apaa via email,negatif
gmna si ngirim kode otp sampe abis baru kirim udah kirim kode tidak laku kocak kocak,netral
tidak bisa loginerror teruskacau nih aplikasi,negatif
memper mudah transaksi,netral
ganggu tidak bisa tranfer sangat ganggu lancar bisnis,netral
mantap,positif
lemah livin banyak offline transfer lapor masuk saldo tidak muncul sangat rugi,netral
sih pelihara banget tidak pemberitahuan jam brpa smpai jam kadang smpai jam stgh subuh tidak nentu bgtt tlong klau emg pelihara info jam brpa smpai jam brpa jdi org transaksi tau tidak bingung klau smpt dadak btuh transfer dn tidak ad informasi klau pelihara bingung jd tlong admin livin tlong setting kn notifikasi pelihara serta jam slsai,netral
login pakai nomor kartu masukin tgl lahir data salahanehpdahal kartu baru bikin,netral
panjang kartu ganti nmer ndak bisa iya pkek livin,netral
diupdate ndak bisa buka login gimana kak,netral
dikit pelihara sistem apa jam pelihara sistem aplikasi aneh transaksi bikin ribet pelihara sistem jam jam bilang silang ulang menit udah jam nunggu,netral
gagal masuk aplikasi terima otp,negatif
aplikasi livin mandiri sangat bantu aktivitas perban seharihari transaksi cepat antarmuka mudah fiturfiturnya lengkap bisa transfer bayar tagih cek saldo hitung detik sangat cocok butuh finansial digital era terima kasih mandiri,positif
bsu,netral
atas pektasi,netral
aneh ram gb tidak dukung hp sya,netral
gagal tansaksi,negatif
malam susah transaksi,netral
daftar kartu debit dialihinnya kartu debit mulu habis daftar menu login tidak pusing,netral
stelah update tidak bisa buka muncul pemberitahuan utk hpus app share screen notabene tidak handphone sy,negatif
tidak bisa buka uninstall install ulang download resmi gimana nih mandiri,negatif
tolong baik kali bayar qris aplikasi force close,positif
aman percaya,netral
sangat puas livin karna bisa butuh uang membaayar apa,positif
payah gara kartu perdana blokir livin g bisa login ngurus bank suruh nunggu skrng bula tidak bisa kacau,negatif
kenpa livin mandiri tidak bisa anju pinjam tunai,negatif
mantap,positif
tidak bisa transaksi malam tidak kyk maintanance jam pagi kekk orang jam aktif,negatif
sangat bantu mudah proses transaksi apa,netral
tidak bisa du buka babi,negatif
suka banget livin mandiri fiturnya sangat mudah bayarbayar tagih serba,positif
maaf sudh kli cek saldotf tidak bisa buka mlah downlod daftar gimn,negatif
pusing,netral
